,id_emision,id_pais,emision_co2,intensidad_carbono
534,E-YEM-1982,YEM,13.2,
535,E-ZMB-1982,ZMB,6.26042358764826,
536,E-ZWE-1982,ZWE,15.062506861888819,
537,E-AFG-1983,AFG,3.319209359684765,
538,E-ALB-1983,ALB,19.188528178049793,
539,E-DZA-1983,DZA,113.06397892751684,
540,E-ASM-1983,ASM,1.3928448841514318,
541,E-AGO-1983,AGO,7.1110066,
542,E-ATA-1983,ATA,0.2,
543,E-ATG-1983,ATG,1.0,
544,E-ARG-1983,ARG,187.90024413189917,
545,E-AUS-1983,AUS,456.3498725004726,
546,E-AUT-1983,AUT,97.73801569205952,
547,E-BHR-1983,BHR,18.6430858,
548,E-BGD-1983,BGD,16.45570777986206,
549,E-BRB-1983,BRB,2.044440264,
550,E-BEL-1983,BEL,233.10475855047284,
551,E-BLZ-1983,BLZ,0.4,
552,E-BEN-1983,BEN,0.6,
553,E-BMU-1983,BMU,1.0,
554,E-BTN-1983,BTN,0.06270737991083469,
555,E-BOL-1983,BOL,8.07336,
556,E-BWA-1983,BWA,2.4990169184571327,
557,E-BRA-1983,BRA,348.13071097247075,
558,E-VGB-1983,VGB,0.06936,
559,E-BRN-1983,BRN,10.017511066,
560,E-BGR-1983,BGR,184.0399799164851,
561,E-BFA-1983,BFA,0.8,
562,E-BDI-1983,BDI,0.19624,
563,E-KHM-1983,KHM,0.08188,
564,E-CMR-1983,CMR,5.4,
565,E-CAN-1983,CAN,772.5230993221452,
566,E-CYM-1983,CYM,0.2,
567,E-CAF-1983,CAF,0.4,
568,E-TCD-1983,TCD,0.6,
569,E-CHL-1983,CHL,33.37548050828622,
570,E-CHN-1983,CHN,3342.2034081941792,
571,E-COL-1983,COL,73.99230910409182,
572,E-COM-1983,COM,0.08268,
573,E-COK-1983,COK,0.11026,
574,E-CRI-1983,CRI,4.3773353636800225,
575,E-CUB-1983,CUB,67.10690437645161,
576,E-CYP-1983,CYP,5.2,
577,E-DNK-1983,DNK,107.92662766763263,
578,E-DJI-1983,DJI,2.4,
579,E-DMA-1983,DMA,0.07004,
580,E-DOM-1983,DOM,11.2,
581,E-ECU-1983,ECU,28.275894666,
582,E-EGY-1983,EGY,107.88416878831839,
583,E-SLV-1983,SLV,3.2,
584,E-GNQ-1983,GNQ,0.1388,
585,E-SWZ-1983,SWZ,1.184280017985037,
586,E-ETH-1983,ETH,3.8,
587,E-FLK-1983,FLK,0.02302,
588,E-FJI-1983,FJI,2.08243100180271,
589,E-FIN-1983,FIN,86.89402572824105,
590,E-FRA-1983,FRA,823.7300854455057,
591,E-GUF-1983,GUF,0.8,
592,E-PYF-1983,PYF,0.8,
593,E-GAB-1983,GAB,3.42220132,
594,E-DEU-1983,DEU,0.0,
595,E-GHA-1983,GHA,4.4,
596,E-GIB-1983,GIB,1.0,
597,E-GRC-1983,GRC,100.87053604769794,
598,E-GRL-1983,GRL,0.0,
599,E-GRD-1983,GRD,0.11656,
600,E-GLP-1983,GLP,1.8,
601,E-GUM-1983,GUM,7.562026657987874,
602,E-GTM-1983,GTM,7.0,
603,E-GIN-1983,GIN,1.6,
604,E-GNB-1983,GNB,0.16818,
605,E-GUY-1983,GUY,2.6,
606,E-HTI-1983,HTI,1.679553996218285,
607,E-HND-1983,HND,3.0,
608,E-HKG-1983,HKG,40.896205593685465,
609,E-HUN-1983,HUN,146.0979904496413,
610,E-ISL-1983,ISL,3.0532203863927503,
611,E-IND-1983,IND,639.8162009938005,
612,E-IDN-1983,IDN,162.56224280754475,
613,E-IRN-1983,IRN,218.9136093358643,
614,E-IRQ-1983,IRQ,60.66641584,
615,E-IRL-1983,IRL,39.48694173834869,
616,E-ISR-1983,ISR,48.11604549397943,
617,E-ITA-1983,ITA,691.6309003620981,
618,E-JAM-1983,JAM,11.4,
619,E-JPN-1983,JPN,1511.3468474317656,
620,E-JOR-1983,JOR,14.0,
621,E-KEN-1983,KEN,11.387426867558133,
622,E-KIR-1983,KIR,0.05312,
623,E-KWT-1983,KWT,45.110066,
624,E-LAO-1983,LAO,0.4,
625,E-LBN-1983,LBN,11.812811034154414,
626,E-LSO-1983,LSO,0.2,
627,E-LBR-1983,LBR,3.4,
628,E-LBY-1983,LBY,45.77685808,
629,E-LUX-1983,LUX,19.55172418626248,
630,E-MDG-1983,MDG,1.6528659655554692,
631,E-MWI-1983,MWI,1.0828697500866542,
632,E-MYS-1983,MYS,58.49274337605604,
633,E-MDV-1983,MDV,0.02768,
634,E-MLI-1983,MLI,0.8,
635,E-MLT-1983,MLT,2.894964995800157,
636,E-MTQ-1983,MTQ,1.2,
637,E-MRT-1983,MRT,1.2275468764193707,
638,E-MUS-1983,MUS,1.4,
639,E-MEX-1983,MEX,416.3805677544102,
